,Tenant,VRF,BD_Name,BD_IP,AP,EPG_Name,VLAN_ID,VLAN_Pool,Domain,NODEID_FROM,NODEID_TO,Port,Mode,PGType,PolicyGroup
44,D_DC,DEV_TSM_BACKUP,VL2932_EXA_GUARD_001_BD,,EXA_GUARD_001_AP,VL2932_EXA_GUARD_001_EPG,2932,D_DC_SVPL,D_DC_PDOM,203,204,34,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_34_VPC
45,D_DC,DEV_TSM_BACKUP,VL2932_EXA_GUARD_001_BD,,EXA_GUARD_001_AP,VL2932_EXA_GUARD_001_EPG,2932,D_DC_SVPL,D_DC_PDOM,203,204,35,regular,VPC,TLALFHC3203_TLALFHC3204_ETH1_35_VPC
46,D_DC,L_ESX_VMOT_031,VLAN2962_L_ESX_VMOT_031_BD,,L_ESX_VMOT_031_AP,VLAN2962_L_ESX_VMOT_031_EPG,2962,D_DC_SVPL,D_DC_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
47,D_DC,L_ESX_VMOT_031,VLAN2962_L_ESX_VMOT_031_BD,,L_ESX_VMOT_031_AP,VLAN2962_L_ESX_VMOT_031_EPG,2962,D_DC_SVPL,D_DC_PDOM,207,208,22,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
48,D_DC,L_ESX_VMOT_031,VLAN2962_L_ESX_VMOT_031_BD,,L_ESX_VMOT_031_AP,VLAN2962_L_ESX_VMOT_031_EPG,2962,D_DC_SVPL,D_DC_PDOM,207,208,23,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
49,D_DC,L_ESX_VMOT_031,VLAN2962_L_ESX_VMOT_031_BD,,L_ESX_VMOT_031_AP,VLAN2962_L_ESX_VMOT_031_EPG,2962,D_DC_SVPL,D_DC_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
50,D_DC,L_INF_MCL_001,VL3190_L_INF_MCL_001_BD,,L_INF_MCL_001_AP,VL3190_L_INF_MCL_001_EPG,3190,D_DC_SVPL,D_DC_PDOM,207,207,34,untagged,,TLALFHC3207_ETH1_34_APG
51,D_DC,L_INF_MCL_001,VL3190_L_INF_MCL_001_BD,,L_INF_MCL_001_AP,VL3190_L_INF_MCL_001_EPG,3190,D_DC_SVPL,D_DC_PDOM,208,208,34,untagged,,TLALFHC3208_ETH1_34_APG
52,D_DC,L_INF_MCL_001,VL3190_L_INF_MCL_001_BD,,L_INF_MCL_001_AP,VL3190_L_INF_MCL_001_EPG,3190,D_DC_SVPL,D_DC_PDOM,207,207,35,untagged,,TLALFHC3207_ETH1_35_APG
53,D_DC,L_INF_MCL_001,VL3190_L_INF_MCL_001_BD,,L_INF_MCL_001_AP,VL3190_L_INF_MCL_001_EPG,3190,D_DC_SVPL,D_DC_PDOM,208,208,35,untagged,,TLALFHC3208_ETH1_35_APG
54,D_MGMT,LM_FW_MGT_001,VL3218_LM_FW_MGT_001_BD,,LM_FW_MGT_001_AP,VL3218_LM_FW_MGT_001_EPG,3218,D_MGMT_SVPL,D_MGMT_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
55,D_MGMT,LM_FW_MGT_001,VL3218_LM_FW_MGT_001_BD,,LM_FW_MGT_001_AP,VL3218_LM_FW_MGT_001_EPG,3218,D_MGMT_SVPL,D_MGMT_PDOM,207,208,22,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
56,D_MGMT,LM_FW_MGT_001,VL3218_LM_FW_MGT_001_BD,,LM_FW_MGT_001_AP,VL3218_LM_FW_MGT_001_EPG,3218,D_MGMT_SVPL,D_MGMT_PDOM,207,208,23,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
57,D_MGMT,LM_FW_MGT_001,VL3218_LM_FW_MGT_001_BD,,LM_FW_MGT_001_AP,VL3218_LM_FW_MGT_001_EPG,3218,D_MGMT_SVPL,D_MGMT_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
58,D_DC,L_SRV1_PUB_001,VL3222_L_SRV1_PUB_001_BD,,L_SRV1_PUB_001_AP,VL3222_L_SRV1_PUB_001_EPG,3222,D_DC_SVPL,D_DC_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
59,D_DC,L_SRV1_PUB_001,VL3222_L_SRV1_PUB_001_BD,,L_SRV1_PUB_001_AP,VL3222_L_SRV1_PUB_001_EPG,3222,D_DC_SVPL,D_DC_PDOM,207,208,22,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
60,D_DC,L_SRV1_PUB_001,VL3222_L_SRV1_PUB_001_BD,,L_SRV1_PUB_001_AP,VL3222_L_SRV1_PUB_001_EPG,3222,D_DC_SVPL,D_DC_PDOM,207,208,23,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
61,D_DC,L_SRV1_PUB_001,VL3222_L_SRV1_PUB_001_BD,,L_SRV1_PUB_001_AP,VL3222_L_SRV1_PUB_001_EPG,3222,D_DC_SVPL,D_DC_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
62,D_DC,L_SRV1_PUB_001,VL3222_L_SRV1_PUB_001_BD,,L_SRV1_PUB_001_AP,VL3222_L_SRV1_PUB_001_EPG,3222,D_DC_SVPL,D_DC_PDOM,207,208,25,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_25_26_VPC
63,D_DC,L_SRV1_PUB_001,VL3222_L_SRV1_PUB_001_BD,,L_SRV1_PUB_001_AP,VL3222_L_SRV1_PUB_001_EPG,3222,D_DC_SVPL,D_DC_PDOM,207,208,26,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_25_26_VPC
64,D_DC,L_SRV1_MGT_001,VL3223_L_SRV1_MGT_001_BD,,L_SRV1_MGT_001_AP,VL3223_L_SRV1_MGT_001_EPG,3223,D_DC_SVPL,D_DC_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
65,D_DC,L_SRV1_MGT_001,VL3223_L_SRV1_MGT_001_BD,,L_SRV1_MGT_001_AP,VL3223_L_SRV1_MGT_001_EPG,3223,D_DC_SVPL,D_DC_PDOM,207,208,22,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
66,D_DC,L_SRV1_MGT_001,VL3223_L_SRV1_MGT_001_BD,,L_SRV1_MGT_001_AP,VL3223_L_SRV1_MGT_001_EPG,3223,D_DC_SVPL,D_DC_PDOM,207,208,23,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
67,D_DC,L_SRV1_MGT_001,VL3223_L_SRV1_MGT_001_BD,,L_SRV1_MGT_001_AP,VL3223_L_SRV1_MGT_001_EPG,3223,D_DC_SVPL,D_DC_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
